year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
2013,12,4,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,3,6,0,0
2013,12,4,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,3,6,0,0
2013,12,6,Quneitra,Quneitra district,33.406527,35.865599,Bombing/Explosion,NA,NA,Military,NA,NA,Israel,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,0,0
2013,12,6,Al Hasakah,Qamishli,37.052361,41.241371,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,6,10,1,0
2013,12,22,Homs,Umm Al-Amad,34.814651,37.01833,Bombing/Explosion,NA,NA,Educational Institution,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,21,NA,1,0
2013,12,26,Aleppo,Aleppo,36.215549,37.159279,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,4,0,0,0
2013,12,26,Aleppo,Dana,36.397083,37.46618,Hostage Taking (Kidnapping),NA,NA,NGO,NA,NA,Great Britain,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,12,27,Aleppo,Aleppo,36.215549,37.159279,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,0,0,0,0
2013,12,27,Aleppo,Unknown,36.219876,37.45358,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,3,NA,0,0
2013,12,27,Idlib,Unknown,35.833402,36.696653,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,3,NA,0,0
2013,12,27,Homs,Unknown,34.425036,37.440548,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,2,NA,0,0
2013,12,27,Aleppo,Aleppo,36.207577,37.157135,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,14,0,0
2013,12,28,Idlib,Kafr Nabl,35.613663,36.560648,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,12,28,Idlib,Kafr Nabl,35.613663,36.560648,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Sabotage Equipment,NA,NA,NA,NA,NA,0,0,0,0
2013,12,28,Al Hasakah,Qamishli,37.062506,41.234694,Bombing/Explosion,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,0,1,0,0
2014,1,2,Unknown,Unknown,NA,NA,Hostage Taking (Kidnapping),NA,NA,NGO,NA,NA,International,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2014,1,3,Damascus,Damascus,33.513,36.292,Bombing/Explosion,NA,NA,Utilities,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,0,0
2014,1,3,Homs,Homs,34.733018,36.732112,Bombing/Explosion,NA,NA,Utilities,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,0,0
2014,1,8,Aleppo,Bab,36.372467,37.517794,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,9,0,0,0
2014,1,9,Hamah,Kaffat,35.068056,36.888889,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,18,24,0,0
2014,1,13,Damascus,Damascus,33.47312,36.30483,Facility/Infrastructure Attack,NA,NA,Government (Diplomatic),NA,NA,International,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,0,0,0,0
