year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1980,8,15,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1980,12,16,Aleppo,Aleppo,36.212989,37.142588,Assassination,Religious Figures/Institutions,Syria,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,1,0,NA,NA
1980,12,16,Aleppo,Aleppo,36.212989,37.142588,Assassination,Educational Institution,Syria,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,1,0,NA,NA
1980,12,27,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,1,0,NA,NA
1981,1,3,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,4,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1981,1,5,Homs,Homs,34.727926,36.711964,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,16,0,NA,NA
1981,1,6,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,8,Hamah,Hamah,35.136363,36.752194,Assassination,Police,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,2,0,NA,NA
1981,1,8,Hamah,Hamah,35.136363,36.752194,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,8,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1981,1,8,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Private Citizens & Property,Syria,Muslim Brotherhood,2,NA,Firearms,Automatic Weapon,3,2,NA,NA
1981,1,10,Hamah,Hamah,35.136363,36.752194,Assassination,Business,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1981,1,10,Hamah,Hamah,35.136363,36.752194,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,0,1,NA,NA
1981,1,10,Hamah,Hamah,35.136363,36.752194,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,0,3,NA,NA
1981,1,13,Aleppo,Aleppo,36.212989,37.142588,Unknown,Police,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,NA,NA,NA,NA
