year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2007,6,3,Nineveh,Mosul,36.34,43.13,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,3,0,0
2007,6,3,Kirkuk,Kirkuk,35.46883,44.39098,Hostage Taking (Kidnapping),Military,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,4,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,3,0,0
2007,6,4,Basra,Zubair,30.383333,47.7,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Basra,Zubair,30.383333,47.7,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Basra,Abu Al-Khasib,30.45,47.983333,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Basra,Abu Al-Khasib,30.45,47.983333,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Basra,Abu Al-Khasib,30.45,47.983333,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Basra,Abu Al-Khasib,30.45,47.983333,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,4,Nineveh,Qayarah,35.798212,43.293114,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,1,11,0,0
2007,6,4,Baghdad,Baghdad,33.251522,44.507829,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,12,0,0
2007,6,4,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,4,0,0
2007,6,4,Baghdad,Baghdad,33.251563,44.391939,Bombing/Explosion,Police,Iraq,Ansar al-Islam,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,4,0,0
2007,6,4,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Israel,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0,0,0
2007,6,4,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,4,0,0
2007,6,4,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
2007,6,4,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
2007,6,4,Al Anbar,Khalidiyah,33.38451,43.525147,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,6,0,0,0,0,0
2007,6,4,Al Anbar,Fallujah,33.35004,43.783488,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2007,6,4,Baghdad,Baghdad,33.364161,44.38269,Hostage Taking (Kidnapping),Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,4,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Educational Institution,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,3,0,0
2007,6,4,Al Anbar,Fallujah,33.35004,43.783488,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,5,0,0,0,0,0
2007,6,5,Al Anbar,Amriyat al-Fallujah,33.165298,43.865418,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,19,0,1,15,0,0
2007,6,5,Diyala,Khalis district,33.851043,44.519491,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq (ISI),Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,5,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1,0,1,3,0,0
2007,6,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,2,0,0
2007,6,5,Babil,Mahmudiyah,33.053656,44.362041,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,1,0,0
2007,6,5,Diyala,Khalis district,33.851043,44.519491,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,5,Diyala,Baqubah,33.75,44.633333,Armed Assault,Transportation,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,4,0,0
2007,6,5,Baghdad,Baghdad,33.3,44.4,Armed Assault,Private Citizens & Property,Iraq,Islamic State of Iraq (ISI),Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Baghdad,Baghdad,33.27264,44.299996,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,4,0,0
2007,6,5,Baghdad,Baghdad,33.28131,44.326021,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,3,0,0
2007,6,5,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
2007,6,5,Saladin,Baiji,34.929167,43.493056,Assassination,Police,Iraq,Islamic State of Iraq (ISI),Firearms,Unknown Gun Type,2,0,0,0,0,0
2007,6,5,Babil,Jabella,32.468191,44.550194,Assassination,Government (General),Iraq,Ansar al-Islam,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Najaf,Najaf,32.000596,44.330818,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Basra,Basra,30.5,47.816667,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Basra,Basra,30.5,47.816667,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Basra,Basra,30.5,47.816667,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,5,Babil,Iskandariyah,32.88504,44.348,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,4,0,0
2007,6,5,Babil,Hillah,32.483333,44.433333,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,2,0,0
2007,6,5,Kirkuk,Safrah,35.199376,43.792951,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,4,0,0
2007,6,6,Baghdad,Baghdad,33.3,44.4,Hostage Taking (Kidnapping),Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,0,0,0
2007,6,6,Baghdad,Baghdad,33.314654,44.347298,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,8,0,0
2007,6,6,Baghdad,Baghdad,33.251522,44.507829,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
