year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2014,10,31,Baghdad,Baghdad,33.32973,44.450185,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,10,31,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0,0,0
2014,10,31,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,10,31,Baghdad,Baghdad,33.229533000000004,44.303955,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,5,0,0,13,0,0
2014,10,31,Al Anbar,Radhwaniyah,33.250439,44.268928,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,10,31,Diyala,Madain,33.101728,44.580481,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,0,0,11,0,0
2014,11,1,Baghdad,Baghdad,33.314009,44.506622,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,6,0,0
2014,11,1,Saladin,Tikrit,34.600108,43.683508,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,1,Babil,Latifiyah,32.98499,44.35676,Armed Assault,Military,Iraq,Unknown,Firearms,Rifle/Shotgun (non-automatic),1,0,0,0,0,0
2014,10,31,Al Anbar,Ramadi district,33.416713,43.299752,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,50,0,0,NA,0,0
2014,11,1,Baghdad,Baghdad,33.251389,44.391944,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,21,0,1,53,0,0
2014,11,1,Baghdad,Baghdad,33.343742,44.436339,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,3,0,0,9,0,0
2014,11,2,Baghdad,Baghdad,33.243531,44.339863,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,10,0,0,23,0,0
2014,11,2,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,5,0,0,11,0,0
2014,11,2,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,14,0,1,27,0,0
2014,11,2,Kirkuk,Dibis district,35.672515,44.073028,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2014,11,2,Al Anbar,Amiriyat al-Fallujah,33.165289,43.86549,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,14,0,0
2014,11,3,Diyala,Nahrawan,33.376136,44.706226,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,10,0,0
2014,11,3,Baghdad,Baghdad,33.277992,44.328386,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,11,3,Al Anbar,Abu Ghraib,33.291871,44.065206,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,1,0,0
2014,11,3,Diyala,Abu Sayda,33.92718,44.773212,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2014,11,3,Diyala,Bawiyah,33.877222,44.959167,Unknown,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,3,0,3,0,0,0
2014,11,3,Nineveh,Sinjar,36.321363,41.865109,Unknown,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,7,0,7,0,0,0
2014,11,3,Baghdad,Baghdad,33.251506,44.5078,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,4,0,0
2014,11,3,Baghdad,Baghdad,33.425404,44.396927,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,3,Diyala,Husseiniyah,33.54631,44.413457,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,3,Baghdad,Baghdad,33.380981,44.344896,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,7,0,0
2014,11,3,Baghdad,Baghdad,33.402095,44.368578,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3,0,0,7,0,0
2014,11,3,Baghdad,Baghdad,33.404891,44.347304,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,4,0,0
2014,11,3,Al Anbar,Ramadi district,33.416713,43.299752,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,36,0,0,0,0,0
2014,11,3,Baghdad,Baghdad,33.401821,44.368578,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,7,0,1,13,0,0
2014,11,4,Babil,Mahmudiyah,33.061667,44.354167,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,8,0,0
2014,11,4,Saladin,Unknown,34.533753,43.483738,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,4,Diyala,Khalis,33.843116,44.521235,Assassination,Military,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,11,4,Saladin,Baiji,34.929095,43.493056,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,4,Saladin,Baiji,34.929095,43.493056,Bombing/Explosion,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,5,Baghdad,Baghdad,33.370243,44.278691,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,8,0,0
2014,11,5,Baghdad,Baghdad,33.272676,44.299995,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,11,5,Saladin,Tarmiyah,33.664354,44.373779,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,5,0,0
2014,11,5,Wasit,Kut,32.505543,45.824801,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,3,0,0
2014,11,5,Baghdad,Baghdad,33.251238,44.507339,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,10,0,0
2014,11,5,Nineveh,Zummar,36.763198,42.60233,Bombing/Explosion,Other,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2014,11,5,Saladin,Albu Faraj,34.079925,44.16728,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3,0,0,2,0,0
2014,11,6,Al Anbar,Jubah,33.907776,42.542993,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,6,0,1,12,0,0
2014,11,6,Al Anbar,Abu Ghraib district,33.291944,44.065556,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,7,0,0
2014,11,6,Nineveh,Hammam al-Alil,36.158056,43.259444,Bombing/Explosion,Educational Institution,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,6,Baghdad,Baghdad,33.34167,44.276908,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,0,0,8,0,0
2014,11,6,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,0,0,0
2014,11,7,Saladin,Awjah,34.526518,43.7074,Bombing/Explosion,Terrorists/Non-State Militia,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,NA,0,1,NA,0,0
2014,11,7,Saladin,Baiji,34.911652,43.485156,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,9,0,1,15,0,0
2014,11,7,Babil,Yusufiyah,33.078471,44.255597,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,4,0,0
2014,11,7,Diyala,Madain,33.100008,44.583112,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,11,7,Baghdad,Baghdad,33.215389,44.385499,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,8,0,0
2014,11,7,Baghdad,Baghdad,33.425404,44.396927,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,11,7,Diyala,Bani Ways,33.931667,45.178889,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,4,0,0
2014,11,8,Al Anbar,Ramadi district,33.426248,42.977081,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,1,0,0,0
2014,11,8,Baghdad,Baghdad,33.277992,44.328386,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,12,0,0,32,0,0
2014,11,8,Babil,Yusufiyah,33.079204,44.252968,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,2,0,0,2,0,0
2014,11,8,Baghdad,Baghdad,33.314009,44.506622,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,8,0,0,24,0,0
2014,11,8,Baghdad,Baghdad,33.251506,44.5078,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,6,0,0,13,0,0
2014,11,8,Baghdad,Baghdad,33.389916,44.460696,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,11,0,0,30,0,0
2014,11,8,Baghdad,Baghdad,33.298749,44.4229,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,8,0,0,27,0,0
2014,11,8,Diyala,Baqubah,33.750729,44.633683,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,2,0,0
2014,11,8,Babil,Yusufiyah,33.078471,44.255597,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,3,0,0
2014,11,8,Saladin,Khanukah,35.393848,43.259404,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,8,Saladin,Shirqat district,35.492997,43.242478,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,8,Saladin,Unknown,34.533753,43.483738,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Naqshabandiya Army,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,8,Nineveh,Mosul,36.340106,43.129825,Hostage Taking (Kidnapping),Journalists & Media,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Baghdad,Baghdad,33.332103,44.346056,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,11,9,Baghdad,Baghdad,33.426411,44.434701,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,11,9,Kirkuk,Daquq district,35.142168,44.447382,Assassination,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Rifle/Shotgun (non-automatic),1,0,0,0,0,0
2014,11,9,Diyala,Abu Sayda,33.927321,44.773317,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,3,0,0,0,0,0
2014,11,9,Saladin,Balad,34.016365,44.145283,Unknown,Terrorists/Non-State Militia,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,3,0,0,2,0,0
2014,11,9,Al Anbar,Hit district,33.633442,42.816579,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,71,0,0,0,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,9,Nineveh,Qayyarah,35.798611,43.295,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,10,Baghdad,Baghdad,33.368141,44.363851,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,1,0,0
2014,11,10,Baghdad,Baghdad,33.215584,44.385598,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,10,0,0
2014,11,10,Baghdad,Baghdad,33.297563,44.290204,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,11,11,Saladin,Mushahidah,33.63497,44.235291,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,4,0,1,13,0,0
2014,11,11,Diyala,Buhriz,33.7,44.666667,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,1,0,0
2014,11,11,Saladin,Tuz Khormato,34.87934,44.612059,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,11,11,Baghdad,Baghdad,33.370243,44.278691,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,9,0,0
2014,11,11,Baghdad,Baghdad,33.268296,44.344984,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,7,0,0
2014,11,11,Saladin,Alam,34.709277,43.69508,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,0,NA,0,0
2014,11,11,Al Anbar,Fallujah,33.349982,43.783294,Hostage Taking (Kidnapping),Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Melee,Rope or Other Strangling Device,1,0,0,0,0,0
2014,11,11,Al Anbar,Abu Ghraib,33.291965,44.065593,Armed Assault,Military,Iraq,Al-Naqshabandiya Army,Firearms,Unknown Gun Type,2,0,0,7,0,0
2014,11,11,Saladin,Baiji,34.928808,43.493231,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,9,0,1,2,0,0
2014,11,12,Babil,Yusufiyah,33.078471,44.255597,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,7,0,1,16,0,0
2014,11,12,Baghdad,Baghdad,33.389916,44.460696,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,5,0,0
2014,11,12,Diyala,Kifri district,34.689444,44.960556,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,4,0,1,10,0,0
2014,11,12,Baghdad,Baghdad,33.314009,44.506622,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,9,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Yathrib,33.997531,44.354228,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Tikrit,34.599964,43.683158,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Tikrit,34.599964,43.683158,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Tikrit,34.599964,43.683158,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Mushahidah,33.63497,44.235291,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Arbil,Mela Omer,36.315195,44.149727,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Baghdad,Baghdad,33.251547,44.391906,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,12,Baghdad,Baghdad,33.314657,44.347304,Bombing/Explosion,Business,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,0,13,0,0
2014,11,12,Baghdad,Baghdad,33.314657,44.347304,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,1,10,0,0
2014,11,12,Diyala,Adhaim,34.276147,44.538422,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,3,0,1,10,0,0
2014,11,13,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,5,0,1,11,0,0
2014,11,13,Baghdad,Baghdad,33.373901,44.536067,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,8,0,0
2014,11,13,Baghdad,Baghdad,33.223512,44.434701,Armed Assault,Government (General),Iraq,Unknown,Firearms,Automatic Weapon,4,0,0,0,0,0
2014,11,13,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,13,Baghdad,Baghdad,33.227721,44.353436,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,13,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,13,Baghdad,Baghdad,33.259492,44.285202,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,13,Diyala,Hajilar,34.804722,45.646667,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,0,0,0
2014,11,13,Diyala,Baqubah,33.749271,44.633333,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,1,0,0
2014,11,14,Saladin,Tikrit,34.599279,43.682983,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,4,0,1,7,0,0
2014,11,14,Baghdad,Baghdad,33.368141,44.363851,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,4,0,0,11,0,0
2014,11,14,Baghdad,Baghdad,33.404891,44.347304,Bombing/Explosion,Religious Figures/Institutions,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,7,0,0,22,0,0
2014,11,14,Baghdad,Baghdad,33.248229,44.333281,Bombing/Explosion,Business,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,10,0,0
2014,11,14,Diyala,Madain,33.100008,44.583112,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,8,0,0
2014,11,14,Baghdad,Baghdad,33.305081,44.488947,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,9,0,0
2014,11,14,Al Anbar,Tharthar,33.666667,43.483333,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Al Anbar,Kurtan,33.326673,44.208788,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Al Anbar,Bazayiz al-Abid,33.331024,44.129453,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Baghdad,Baghdad,33.400876,44.491304,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,11,14,Saladin,Awdat al-Shukr,33.615683,44.277372,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
